scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           5596           5795           4386       9.430e-4       2.446e-1       8.589e-8
   1           4144           7511            132       3.728e-4       3.283e-1       1.416e-6
   1           2925          13219           1179       5.393e-4       3.354e-1       2.228e-8
   1           2226          13950          13102       9.548e-4       3.395e-1       1.138e-7
   1           2187          12492           2853       1.026e-3       3.429e-1       1.277e-5
   1           5208          15260          11409       3.863e-4       3.293e-1       6.593e-7
   1           3240          10940           5703       4.896e-4       3.083e-1       6.955e-7
   1           3445          13471           5756       5.274e-4       1.783e-1       3.755e-7
   1           2464           6124           9557       5.701e-4       3.204e-1       9.818e-7
   1           4720          12033           7403       7.724e-4       3.014e-1       3.057e-8
   1           4289          13001           5163       1.116e-3       3.384e-1       2.061e-7
   1           4145          12755           9462       6.653e-4       2.178e-1       9.133e-7
   1           4055           8583          11165       7.884e-4       1.873e-1       8.256e-8
   1           3902           8489          11436       9.511e-4       2.564e-1       6.839e-8
   1           3359          13861           8061       5.820e-4       2.883e-1       1.675e-6
   1           4754           7816           5322       6.912e-4       3.222e-1       1.678e-7
   1           4254           5518           4335       6.124e-4       2.923e-1       2.020e-6
   1           5677           9493           1291       3.621e-4       2.992e-1       6.016e-6
   1           4783           8068           8684       1.117e-3       2.654e-1       2.201e-8
   1           4703           5963           8841       4.575e-4       2.773e-1       3.111e-7
   1           4840          13370          13601       5.375e-4       3.408e-1       1.706e-8
   1           2207           9449           4868       1.232e-3       3.061e-1       8.422e-6
   1           2382          14295           6821       9.205e-4       3.458e-1       4.543e-7
   1           5080          11162           6088       6.339e-4       3.195e-1       2.919e-7
   1           6987          16996           6513       2.318e-4       3.252e-1       9.704e-8
   1           3493          12751           5243       7.602e-4       3.191e-1       1.895e-8
   1           4606           2857            138       6.625e-4       2.408e-1       1.654e-6
   1           2642          13178           5542       4.853e-4       3.062e-1       1.159e-7
   1           2027          12165           5468       1.174e-3       3.550e-1       6.898e-8
   1           4554          10321           5911       7.399e-4       2.807e-1       1.694e-7
   1           2754           8406           4479       4.262e-4       2.429e-1       9.103e-6
   1           3212           5224            414       9.967e-4       3.242e-1       3.656e-6
   1           4288           9878            497       5.952e-4       3.047e-1       7.952e-7
   1           3837          15745           3646       6.655e-4       3.274e-1       5.565e-7
   1           5547           8949           7539       5.179e-4       2.646e-1       3.839e-6
   1           4381          12893           5887       1.042e-3       2.730e-1       5.883e-7
   1           2523           9521           2473       9.988e-4       3.439e-1       9.694e-6
   1           3339          11752           1111       7.859e-4       3.005e-1       1.040e-6
   1           5045          12734           7527       5.018e-4       3.536e-1       9.496e-8
   1           4748           7011           6978       4.945e-4       2.935e-1       1.971e-7
   1           3755          12612           4615       6.776e-4       2.298e-1       9.485e-8
   1           2207          16466            807       7.912e-4       3.321e-1       8.117e-8
   1           2614          17879           4608       6.649e-4       2.161e-1       4.375e-7
   1           3924          18952           1177       5.903e-4       3.386e-1       1.428e-6
   1           3882          14645           5633       8.874e-4       1.260e-1       1.634e-7
   1           3179           3634           4049       8.489e-4       1.904e-1       2.349e-7
   1           5546          12048           7918       4.783e-4       2.561e-1       7.839e-6
   1           4909          11991            634       5.872e-4       2.474e-1       4.547e-7
   1           3359           6139           8242       7.754e-4       2.404e-1       7.913e-6
   1           6754          18499          13045       3.419e-4       3.271e-1       1.185e-6
   1           3079           1436           4790       6.350e-4       2.024e-1       7.195e-8
   1           2810           7667           1819       1.023e-3       2.845e-1       1.425e-6
   1           2731          13308           7671       6.779e-4       3.229e-1       6.765e-8
   1           3659          15326           2774       5.597e-4       3.429e-1       2.287e-6
   1           2828          10581          11585       8.208e-4       3.169e-1       3.540e-6
   1           4525           6368           6044       9.958e-4       2.676e-1       3.289e-8
   1           5176          14554           3862       9.677e-4       2.792e-1       2.654e-8
   1           6005          15027           6590       4.256e-4       3.184e-1       3.234e-8
   1           5255          10425           1557       5.460e-4       2.354e-1       2.968e-8
   1           6763          10260           3211       2.869e-4       3.404e-1       3.996e-8
   1           3027          11741           7489       4.990e-4       2.854e-1       1.435e-5
   1           5096          12141           4647       6.201e-4       2.682e-1       3.346e-8
   1           3060          14081           7345       9.663e-4       3.354e-1       1.153e-7
   1           4747          10066           8776       1.006e-3       2.357e-1       4.132e-6
   1           2745          10727           5382       8.270e-4       2.383e-1       1.426e-6
   1           2336           8087           4532       9.421e-4       2.079e-1       2.147e-6
   1           3686           9114           5182       3.704e-4       3.501e-1       1.423e-5
   1           2986          11899           7841       5.242e-4       3.225e-1       6.196e-7
   1           3551           9163          13275       8.882e-4       2.096e-1       1.033e-5
   1           2253          11634           1847       1.120e-3       1.794e-1       1.773e-7
   1           4213           6214           9858       6.900e-4       2.155e-1       1.049e-5
