scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4250           3773           9596       9.591e-4       3.000e-1       7.557e-6
   1           3351          12460          11715       7.710e-4       2.908e-1       9.844e-6
   1           3340           3627           7632       9.159e-4       3.000e-1       1.272e-6
   1           5201          15273           8432       6.909e-4       2.994e-1       1.517e-6
   1           5008          15285           8204       8.690e-4       2.706e-1       3.111e-6
   1           5625           9753           9874       5.009e-4       2.949e-1       7.119e-6
   1           3849           9690          11021       9.606e-4       3.000e-1       9.666e-6
   1           6254          17878           7383       9.201e-4       3.000e-1       1.807e-6
   1           6631          11795           8312       7.246e-4       2.654e-1       9.363e-6
   1           4803          13604          15670       4.995e-4       3.000e-1       1.000e-5
   1           2889          15428           4801       9.718e-4       3.000e-1       2.122e-6
   1           4895           4886           3727       5.208e-4       2.896e-1       7.463e-6
   1           4421          14532           6220       9.671e-4       2.814e-1       8.284e-6
   1           5321          12137          14129       8.771e-4       2.995e-1       5.296e-6
   1           3796          12714           7947       8.555e-4       3.000e-1       8.007e-6
   1           5068           9625           8452       6.988e-4       3.000e-1       1.623e-6
   1           4535          17206           2330       8.338e-4       3.000e-1       7.347e-6
   1           4154          14462           7077       7.636e-4       2.947e-1       1.603e-6
   1           4314          10047          10687       7.097e-4       2.924e-1       1.000e-5
   1           5396           9469           7386       8.492e-4       2.877e-1       9.102e-6
   1           4867           8566           6859       7.194e-4       3.000e-1       3.893e-6
   1           5732          15199           9766       6.595e-4       3.000e-1       7.184e-6
   1           5733          16888          12086       7.237e-4       2.841e-1       1.171e-7
   1           3338           5179          10376       8.388e-4       2.988e-1       9.615e-6
   1           4252          15858           3889       8.620e-4       3.000e-1       2.866e-6
   1           6076          11935           9500       5.624e-4       2.428e-1       2.485e-6
   1           4042           7204           9211       7.302e-4       2.948e-1       1.059e-6
   1           3736         55.606           9106       5.670e-4       2.140e-1       3.162e-7
   1           5138           6540           9351       6.016e-4       3.000e-1       6.857e-6
   1           4944          13012           5802       6.889e-4       3.000e-1       7.070e-6
   1           5849          16228          12893       4.287e-4       3.000e-1       9.822e-6
   1           3604          16580           4069       7.308e-4       3.000e-1       3.384e-6
   1           5199          12279          14298       5.710e-4       2.994e-1       1.000e-5
   1           6012           4999          20847       3.040e-4       3.000e-1       1.000e-5
   1           6408           6223           6027       7.839e-4       2.725e-1       6.838e-6
   1           4988          16925           8553       7.968e-4       2.823e-1       5.705e-6
   1           4454          20168           6037       6.214e-4       3.000e-1       6.997e-6
   1           4618          18611          15069       9.645e-4       2.753e-1       1.307e-6
   1           3541          13082           7382       6.700e-4       3.000e-1       1.000e-5
   1           4864          10233          10920       8.123e-4       3.000e-1       1.655e-6
   1           3870          12628           4831       7.861e-4       2.757e-1       4.732e-6
   1           3706          15956           5133       8.984e-4       3.000e-1       5.988e-7
   1           5331           9214          11231       9.478e-4       2.983e-1       6.852e-6
   1           5061          16827          22041       8.139e-4       2.970e-1       3.949e-6
   1           4639          13580           7568       6.856e-4       2.967e-1       9.940e-6
   1           5790          22321           9399       6.024e-4       2.909e-1       2.983e-6
   1           6584          16639          13141       7.156e-4       1.839e-1       7.215e-6
   1           4515          11257           6558       6.796e-4       2.100e-1       8.800e-6
   1           4330          13968            504       8.284e-4       3.000e-1       5.561e-6
   1           4683          11431           3112       7.652e-4       3.000e-1       9.027e-8
   1           5728          19077           5101       9.813e-4       2.982e-1       4.367e-6
   1           4921           9026          10853       8.330e-4       2.842e-1       6.665e-8
   1           4014          10110          10572       6.576e-4       2.980e-1       1.000e-5
   1           4082          17610           2829       5.850e-4       2.992e-1       6.554e-6
   1           4976           6482          11051       7.770e-4       3.000e-1       9.570e-6
   1           3227           8834           2990       8.462e-4       3.000e-1       2.470e-6
   1           4633           1511          10107       6.739e-4       3.000e-1       6.181e-7
   1           4949           8317          15498       9.440e-4       2.941e-1       3.130e-6
   1           3589          13534           2336       8.548e-4       2.793e-1       6.224e-6
   1           4976          12699          12692       9.196e-4       3.000e-1       1.156e-6
   1           3728          16435           7280       9.030e-4       3.000e-1       7.310e-6
   1           6331          15726          20722       5.987e-4       1.814e-1       3.143e-7
   1           2818          16819           1431       8.302e-4       3.000e-1       4.400e-7
   1           5944          14646           3879       7.277e-4       2.995e-1       1.238e-7
   1           3779           4203           5102       8.657e-4       2.984e-1       4.280e-6
   1           4808          19913           2674       7.967e-4       2.908e-1       8.882e-6
   1           3507          14877           2628       6.835e-4       2.937e-1       8.029e-7
   1           4572          14105          17655       4.359e-4       3.000e-1       1.733e-6
   1           3688           8352          10882       6.920e-4       2.993e-1       1.000e-5
   1           6869          19690           4051       5.008e-4       3.000e-1       7.376e-6
   1           3529          23001          14334       9.023e-4       3.000e-1       9.698e-7
   1           4739          14343           7456       7.160e-4       3.000e-1       2.167e-6
   1           5395          12749           2657       6.187e-4       3.000e-1       1.232e-6
   1           4454          14119           5927       5.451e-4       2.499e-1       8.686e-6
   1           4996          12212           8581       7.523e-4       2.941e-1       1.177e-6
   1           5346           6543          11096       7.207e-4       2.718e-1       1.000e-5
   1           4436          18105           9800       7.640e-4       3.000e-1       4.387e-6
   1           3694           7335           7999       4.703e-4       2.977e-1       9.590e-6
   1           4876          15134           6402       8.192e-4       2.801e-1       2.629e-6
   1           4579          10598           4840       5.183e-4       2.971e-1       1.000e-5
   1           3774          16120           5259       8.359e-4       3.000e-1       9.251e-6
   1           5613          11551           8723       5.417e-4       3.000e-1       6.248e-6
   1           4125           6938           4385       6.791e-4       2.922e-1       1.344e-6
   1           5062          18723           1872       9.043e-4       1.608e-1       1.418e-6
   1           4682           8287          12501       6.237e-4       2.719e-1       2.122e-6
   1           5835          14370          21690       9.343e-4       2.807e-1       7.044e-6
   1           4824          15603          15286       7.015e-4       2.935e-1       9.275e-6
   1           3278          13174           5085       8.640e-4       2.945e-1       1.556e-6
   1           4813          16000          10032       6.754e-4       3.000e-1       6.847e-7
   1           5543           5361          11411       2.764e-4       3.000e-1       7.715e-6
   1           6136           6481          12240       5.832e-4       3.000e-1       6.958e-6
   1           6591          11670           6698       9.257e-4       3.000e-1       5.893e-7
   1           6194          12347           1448       4.953e-4       3.000e-1       1.391e-6
   1           4503          13114           1826       9.662e-4       2.981e-1       1.082e-6
   1           5488           7495           6221       5.544e-4       2.892e-1       8.650e-6
   1           3383          12470           1362       7.777e-4       3.000e-1       3.939e-7
   1           4818          13157          11583       9.263e-4       1.919e-1       9.050e-6
   1           3433          11103           4461       9.676e-4       2.744e-1       1.000e-5
   1           5815          12286           9216       8.360e-4       3.000e-1       9.336e-6
   1           5996           8275           8483       9.421e-4       3.000e-1       1.203e-6
   1           4507          13569           3659       6.634e-4       3.000e-1       3.321e-6
   1           4289          11588           9794       4.742e-4       3.000e-1       7.712e-6
   1           3141          17439           2170       9.716e-4       3.000e-1       5.402e-6
   1           3090          13661          10389       9.326e-4       3.000e-1       6.313e-7
