scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4443           8136           9677       3.439e-4       2.783e-1       9.397e-6
   1           4733          14637          10407       8.824e-4       3.000e-1       3.186e-6
   1           4060          14014           1066       1.884e-4       2.846e-1       1.082e-8
   1           3534          12286           5617       5.739e-4       2.615e-1       9.416e-7
   1           5185          14256            265       3.067e-4       3.000e-1       1.955e-7
   1           4780          14480           8578       3.139e-4       2.680e-1       3.792e-6
   1           4298           9553           5789       7.186e-4       3.000e-1       1.533e-8
   1           5192          15442          10071       6.705e-4       2.612e-1       1.540e-6
   1           3857           9224          22032       5.637e-4       3.000e-1       6.297e-8
   1           2779          11157           6355       7.775e-4       2.875e-1       6.440e-8
   1           3750           8421          10019       3.179e-4       2.907e-1       3.508e-6
   1           4541           7785          15394       2.629e-4       2.515e-1       3.938e-6
   1           3711           9331            793       6.903e-4       2.694e-1       1.513e-6
   1           3845          15107          11456       7.627e-4       3.000e-1       5.162e-8
   1           5111          11552            670       4.429e-4       2.866e-1       3.257e-8
   1           3976          18971           5640       7.071e-4       2.543e-1       1.728e-6
   1           3839           6420          11089       5.021e-4       2.553e-1       7.497e-6
   1           4990           7953          11103       5.521e-4       2.651e-1       8.179e-8
   1           4959          15236           7120       3.256e-4       2.974e-1       4.158e-8
   1           4199          12671           2412       9.474e-4       2.991e-1       1.115e-6
   1           3852           9005           4548       9.803e-4       2.607e-1       2.047e-6
   1           4209           7317           5115       6.737e-4       2.883e-1       1.453e-7
   1           3577          11016           2714       6.043e-4       2.854e-1       6.072e-6
   1           5365          13564          15226       3.793e-4       2.326e-1       2.846e-6
   1           3092          11294            913       9.691e-4       2.671e-1       1.139e-6
   1           4181           4698          14150       4.542e-4       3.000e-1       1.738e-8
   1           4972           9814          13078       5.693e-4       2.886e-1       4.354e-7
   1           3926          17429           3336       3.590e-4       2.945e-1       2.085e-6
   1           4400          10111           5164       7.092e-4       2.927e-1       1.412e-7
   1           3354           8237           3884       5.289e-4       3.000e-1       4.915e-7
   1           4994           8278           5393       3.663e-4       3.000e-1       1.895e-7
   1           1562           4594           2777       8.312e-4       3.000e-1       1.509e-7
   1           2311          17429            625       9.763e-4       1.980e-1       3.608e-8
   1           4463          13024           4199       3.445e-4       1.928e-1       1.612e-7
   1           5675           7462           7562       3.670e-4       3.000e-1       1.585e-6
   1           4495           6997          11724       3.973e-4       2.834e-1       5.044e-7
   1           5133          13604           7346       3.536e-4       2.997e-1       2.149e-7
   1           2774           6473          15096       7.566e-4       2.680e-1       4.337e-6
   1           3196          11350          11708       6.146e-4       3.000e-1       7.969e-7
   1           2705           4173           9478       7.968e-4       2.694e-1       1.964e-8
   1           4081          10230           4400       7.399e-4       2.764e-1       3.646e-8
   1           5044           1867            286       6.676e-4       2.976e-1       1.535e-8
   1           3596           9887           6112       3.703e-4       2.282e-1       9.136e-7
   1           4575           3749           8224       3.282e-4       2.920e-1       5.986e-6
   1           2468          14500           5685       8.347e-4       2.790e-1       3.291e-6
   1           5516           2991          15242       2.683e-4       2.801e-1       1.553e-7
   1           4663          14907           3589       7.245e-4       2.296e-1       8.838e-6
   1           4649          14254          10919       4.982e-4       3.000e-1       4.924e-8
   1           4175           8183           1330       5.285e-4       2.946e-1       3.480e-6
   1           3508           7522          11544       7.704e-4       2.816e-1       1.482e-7
   1           6614           7057           8181       5.128e-4       3.000e-1       3.012e-7
   1           4955          11726          13547       4.467e-4       3.000e-1       5.531e-6
   1           4852          13390           8039       3.060e-4       2.823e-1       5.953e-7
   1           3351          12588          12851       8.010e-4       2.942e-1       2.662e-7
   1           2607          13553           8010       6.448e-4       2.993e-1       8.785e-6
   1           5299           8525           9437       2.967e-4       2.725e-1       1.182e-7
   1           4961          10648          11330       2.600e-4       3.000e-1       7.572e-6
   1           3643          15359           6165       4.853e-4       2.831e-1       1.730e-6
   1           3993           6052          10144       6.210e-4       2.823e-1       2.522e-6
   1           4559          12134          10747       8.090e-4       2.226e-1       8.885e-7
   1           3228          12443            529       5.481e-4       2.734e-1       8.773e-7
   1           3735          15366           7660       5.490e-4       3.000e-1       3.391e-8
   1           5713          12153          11337       3.086e-4       2.984e-1       7.179e-8
   1           5247          12400          15249       4.890e-4       2.963e-1       1.481e-7
   1           2443          11050          17498       5.683e-4       2.925e-1       7.928e-6
   1           3088          11391           9661       9.132e-4       2.979e-1       4.295e-8
   1           5998          11348          10394       5.593e-4       2.671e-1       7.929e-6
   1           3629           4831           6365       6.343e-4       2.947e-1       8.775e-6
   1           5461          18186           9227       3.140e-4       3.000e-1       4.400e-6
   1           6236          10184           2658       2.736e-4       3.000e-1       1.815e-6
   1           4680          11033           1127       3.396e-4       2.761e-1       1.065e-7
   1           3319           8957           9145       5.181e-4       2.710e-1       1.226e-6
   1           4409           9282          17910       2.520e-4       2.541e-1       8.536e-6
   1           4099          13123           4344       7.453e-4       2.698e-1       7.562e-6
   1           4270          14445          17183       5.211e-4       2.994e-1       1.326e-6
