scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1        8.165e-1          12.397           7.626
   1        9.258e-1          10.254          18.738
   1           1.064           9.006          15.010
   1           1.028           6.084          10.261
   1           1.046           1.298           9.983
   1        8.317e-1           6.074          12.505
   1        9.051e-1           2.157          15.503
   1           1.735           8.790          14.603
   1        9.566e-1           4.284          14.279
   1        7.621e-1           2.109           3.474
   1           1.152           9.185           5.540
   1           1.944           6.864          18.981
   1           1.755           5.777          17.959
   1        8.529e-1           9.361          12.454
   1        7.511e-1           2.761           5.001
   1           1.391           5.329          10.781
   1        9.611e-1           4.999          13.258
   1           1.050           7.185          12.531
   1        8.056e-1           8.372          15.301
   1           1.692           6.832          11.298
   1           1.453           3.335           7.529
   1           1.277           4.950          12.088
   1           1.313           2.672          17.276
   1           3.585          12.800          18.110
   1           1.355           2.419           3.986
   1           1.158           5.233           3.246
   1        7.898e-1           6.113          11.364
   1           2.181           7.913          15.883
   1           1.138           3.582          13.861
   1           1.025           1.776           8.996
   1           2.647           5.776          20.211
   1        8.455e-1           3.746           6.541
   1           2.465           8.383          16.584
   1           1.524           7.186          15.604
   1           1.424          12.029          17.112
   1           1.026           8.153          10.481
   1        9.475e-1           5.395        3.724e-1
   1           1.152           4.847          11.832
   1           1.357          11.150          17.101
   1           1.421           7.541          15.071
   1           1.313           5.094           6.463
   1           1.015           5.593          13.606
   1           1.785           5.261           2.627
   1           1.053           7.403          13.183
   1        8.488e-1           6.779          11.738
   1           2.929           9.815           8.975
   1           1.209           3.685          13.175
   1           1.371           7.662          15.698
   1           1.287           3.958          10.453
   1           1.086           7.408          18.780
   1           1.276           7.558          15.054
   1           1.621           2.997          17.476
   1           1.382           1.726        6.522e-1
   1        8.779e-1           2.908           8.132
   1        8.539e-1           3.159           6.229
   1        8.764e-1           5.420          12.377
   1           1.118           2.879          13.183
   1        9.393e-1           1.841          10.759
   1        9.759e-1           3.746           5.280
   1           1.237          10.759           9.674
   1        8.251e-1           3.197           4.952
   1        8.833e-1           9.333          12.674
   1           1.216          10.618          14.647
   1           1.207           7.510          13.903
   1           1.045           5.223           4.548
   1           1.113           7.371           6.555
   1           1.196           6.241          11.232
   1           1.923           4.062           8.342
   1           2.475           6.434           3.076
   1           1.103           3.173          12.189
   1           1.337          12.405          19.667
   1           2.207           4.751          16.081
   1           1.076           9.410          11.749
   1        8.650e-1           3.183           7.306
   1        7.129e-1           4.419          13.667
   1        9.886e-1           2.732           2.537
   1        9.969e-1           1.668           6.117
   1           2.654          13.574          20.696
   1           1.050           1.486           7.556
   1           1.320           5.081           6.268
   1        9.226e-1           7.353           3.309
   1           1.182           6.298          18.509
   1           1.186           2.711           6.473
   1        7.072e-1           4.456          11.689
   1        8.323e-1           4.775          11.773
   1           2.005           9.218          20.388
   1        7.049e-1           3.179          16.963
   1           2.205          11.363          13.884
   1        9.881e-1           2.211           7.799
   1        7.888e-1           3.163           8.061
   1        6.937e-1           1.910           3.728
   1        7.167e-1           3.939          13.993
   1        8.774e-1           2.724           4.212
   1           1.166           2.290           7.894
   1           1.360           5.652          11.408
   1        9.609e-1           2.686          13.363
   1           2.267          10.073          14.051
   1        8.595e-1           9.913          12.776
   1           1.705          13.169          18.429
