scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000          10.750        1.764e-1
   1           1.000          12.228        2.335e-1
   1           1.000          12.228        8.335e-1
   1           1.000          12.228           1.117
   1           1.000          12.228        2.248e-1
   1           1.000          11.975        3.602e-1
   1           1.000          12.045        5.252e-1
   1           1.000          12.228        6.617e-1
   1           1.000          12.228        4.043e-1
   1           1.000          12.228        4.302e-1
   1           1.000          12.228        4.176e-1
   1           1.000          11.738        1.785e-1
   1           1.000           7.957        5.456e-1
   1           1.000           9.317        4.510e-1
   1           1.000           8.934           1.121
   1           1.000          11.065           3.786
   1           1.000          12.228        2.309e-1
   1           1.000          11.794        7.401e-1
   1           1.000          11.983        1.017e-1
   1           1.000          12.228        2.294e-1
   1           1.000          11.513           1.213
   1           1.000          12.228        5.376e-1
   1           1.000          12.228        4.971e-1
   1           1.000          12.228        4.306e-1
   1           1.000          10.524        1.705e-1
   1           1.000          10.673        5.148e-2
   1           1.000          11.288        5.262e-1
   1           1.000          12.188        5.694e-1
   1           1.000          12.228        1.974e-2
   1           1.000          12.228        1.522e-1
   1           1.000          12.228        1.297e-1
   1           1.000          12.228        5.251e-1
   1           1.000          12.228        3.069e-1
   1           1.000          12.093        2.695e-1
   1           1.000          11.555        5.400e-1
   1           1.000          12.228        4.504e-1
   1           1.000          12.228        5.691e-1
   1           1.000          11.602        1.064e-1
   1           1.000           9.601           1.090
   1           1.000          12.228        2.700e-2
   1           1.000          12.169        2.413e-1
   1           1.000          10.352        3.487e-1
   1           1.000          11.369        8.376e-2
   1           1.000          12.228        3.381e-1
   1           1.000          12.228        9.752e-1
   1           1.000          12.228        4.471e-1
   1           1.000          11.602           1.064
   1           1.000          12.006        9.620e-1
   1           1.000          12.042        8.862e-1
   1           1.000          11.376        3.123e-1
   1           1.000          12.228        4.010e-1
   1           1.000          11.546        4.505e-1
   1           1.000          11.751        3.817e-1
   1           1.000          12.228        5.109e-1
   1           1.000          11.933        5.685e-1
   1           1.000          12.228        7.495e-1
   1           1.000          12.228        9.322e-2
   1           1.000          12.228        2.014e-1
   1           1.000           8.775        3.118e-1
   1           1.000          11.325        7.595e-1
   1           1.000          12.228        7.823e-1
   1           1.000          12.130        3.037e-1
   1           1.000          12.009        2.938e-1
   1           1.000          12.228        4.791e-1
   1           1.000          12.228        9.723e-1
   1           1.000          12.228        5.625e-1
   1           1.000          11.970        3.468e-1
   1           1.000          12.228        6.937e-2
   1           1.000          10.591        3.538e-1
   1           1.000          12.228           1.094
   1           1.000           9.781           2.176
   1           1.000          12.228        1.798e-1
   1           1.000          12.228        5.099e-1
   1           1.000          12.031        4.250e-1
   1           1.000          12.228           1.131
   1           1.000          12.220        2.109e-1
   1           1.000          12.228        2.422e-1
   1           1.000          12.228        4.700e-1
   1           1.000          11.976        6.981e-1
   1           1.000          12.131        3.161e-1
   1           1.000          11.315        6.522e-1
   1           1.000          12.228        3.563e-1
   1           1.000          12.228        5.368e-1
   1           1.000          10.117        1.186e-1
   1           1.000          12.011        7.517e-1
   1           1.000          12.228           1.688
   1           1.000          11.919        3.216e-1
   1           1.000          12.228        2.208e-1
   1           1.000          11.930        3.597e-1
   1           1.000          10.043        2.664e-1
   1           1.000          11.844        9.292e-1
   1           1.000          12.228        2.683e-1
   1           1.000          12.228        4.509e-1
   1           1.000          12.096        2.413e-1
   1           1.000          12.228        5.544e-1
   1           1.000          12.228        3.971e-1
   1           1.000           9.238        5.289e-1
   1           1.000          11.902        3.226e-1
   1           1.000          10.136        6.605e-1
   1           1.000          11.848        2.647e-1
   1           1.000          11.193        4.078e-2
   1           1.000          11.158        6.705e-1
   1           1.000          12.040        2.614e-1
   1           1.000          11.688        6.155e-1
   1           1.000          11.747        8.245e-1
   1           1.000          11.163        5.309e-1
   1           1.000          12.228        2.080e-1
   1           1.000          11.769        5.880e-1
   1           1.000          12.228        1.198e-1
   1           1.000          11.708        5.317e-1
   1           1.000          11.958        3.955e-1
   1           1.000          12.228        2.422e-1
   1           1.000          12.228        2.406e-1
   1           1.000          12.228        7.263e-1
   1           1.000          12.037        5.776e-1
   1           1.000          12.120        4.860e-1
   1           1.000          12.228        6.972e-1
   1           1.000          11.485        3.406e-2
   1           1.000          12.228        7.325e-1
   1           1.000          12.164        6.384e-1
   1           1.000          11.955           1.115
   1           1.000          11.694        2.216e-1
   1           1.000          12.228        3.097e-1
   1           1.000          12.228        9.596e-1
   1           1.000          12.228        5.554e-1
   1           1.000          12.228           1.328
   1           1.000          12.228        1.203e-1
   1           1.000          12.228        5.082e-1
   1           1.000          12.171        6.194e-1
   1           1.000          12.228        2.452e-1
   1           1.000          12.155        1.666e-1
   1           1.000          12.228           1.054
   1           1.000          12.228        1.870e-1
   1           1.000          11.232        4.660e-1
   1           1.000          12.228        1.626e-1
   1           1.000          11.284        8.143e-1
   1           1.000          11.413        1.704e-1
   1           1.000           4.314        2.875e-1
   1           1.000          11.303        5.711e-1
   1           1.000          12.228        5.576e-1
   1           1.000          12.228        5.498e-1
   1           1.000          10.143           1.762
   1           1.000          11.005        9.200e-1
   1           1.000          12.228        6.872e-2
   1           1.000          12.204        7.804e-1
   1           1.000          12.228        6.006e-1
   1           1.000          12.228        2.088e-1
   1           1.000          12.228           1.061
   1           1.000          12.228        3.738e-1
   1           1.000          11.907        5.499e-1
   1           1.000          12.017        8.837e-1
   1           1.000          12.228        6.679e-1
   1           1.000          12.228        1.541e-1
   1           1.000          11.869        9.059e-1
   1           1.000          12.228        6.684e-1
   1           1.000          12.228           1.196
   1           1.000          12.228        4.626e-1
   1           1.000          10.325        3.712e-1
   1           1.000          12.228        9.631e-1
   1           1.000           8.089        7.383e-1
   1           1.000          12.228        1.816e-1
   1           1.000          10.003        7.240e-1
   1           1.000          11.720        3.944e-1
   1           1.000          12.228        9.900e-1
   1           1.000          11.580        6.091e-1
   1           1.000          12.016        5.229e-1
   1           1.000          12.169        7.108e-1
   1           1.000          12.228        3.003e-1
   1           1.000          11.910        5.085e-1
   1           1.000          11.129        8.957e-1
   1           1.000          11.897        3.820e-1
   1           1.000           9.452        9.583e-1
   1           1.000          11.728        4.520e-1
   1           1.000          12.228        8.993e-1
   1           1.000          12.228        9.196e-1
