scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           2.662           3.004          28.079
   1           2.960           7.600          28.079
   1           2.325           3.483          28.079
   1           2.499           7.953          28.079
   1           3.324           4.914          28.079
   1           4.005           6.632          28.079
   1           3.370           6.959          28.079
   1           1.814           1.265          27.714
   1           3.984           7.278          28.079
   1           3.883           1.704          28.079
   1           4.300           6.556          28.079
   1           3.233        9.654e-1          28.079
   1           2.477           1.679          28.079
   1           2.787           7.695          28.079
   1           2.000           4.158          28.079
   1           2.487           2.652          28.079
   1           3.517           3.075          28.079
   1           2.118           4.959          27.878
   1           2.997           1.994          28.079
   1           2.405           2.435          27.532
   1           4.013           4.687          28.079
   1           2.533           6.678          28.079
   1           3.603           3.805          21.643
   1           5.269           9.541          25.141
   1           2.753           4.162          28.079
   1           2.725           4.864          27.811
   1           2.443           9.851          28.079
   1           2.060           2.357          28.079
   1           3.517           7.084          28.079
   1           3.596           2.700          27.733
   1           2.820           1.988          28.079
   1           2.263          15.761          28.079
   1           4.015           5.822          28.079
   1           2.996           4.082          28.079
   1           3.655           4.717          28.079
   1           2.360           4.251          28.079
   1           3.492           6.526          27.923
   1           3.838           7.478          27.688
   1           5.842           7.035          26.774
   1           3.162           8.269          28.079
   1           2.575           5.094          28.079
   1           2.725           6.223          28.079
   1           2.014           1.893          27.687
   1           1.555           3.369          27.349
   1           2.275           3.513          27.411
   1           2.063           6.526          28.079
   1           2.550           2.860          28.079
   1           3.132           5.664          28.079
   1           2.086           7.459          28.079
   1           2.010        7.254e-1          27.370
   1           2.287           3.800          28.079
   1           3.060           4.140          28.079
   1           2.862           4.239          28.079
   1           3.353           6.376          27.416
   1           3.626           2.146          28.063
   1           3.077           3.387          28.079
   1           2.641           6.544          28.079
   1           3.079           4.155          28.079
   1           2.144        2.633e-1          28.079
   1           4.461           5.565          28.079
   1           4.882           2.949          28.079
   1           2.364           2.198          28.079
   1           2.226           4.072          28.079
   1           3.444          10.021          28.079
   1           3.058           1.749          28.079
   1           3.498           1.788          28.079
   1           2.726           1.799          28.079
   1           2.083           2.621          28.079
   1           4.343           3.654          28.079
   1           3.320           2.285          28.079
   1           2.018          12.516          28.079
   1           3.418           5.383          28.079
   1           2.279           4.149          27.751
   1           1.519           1.786          28.079
   1           2.667           3.936          28.079
   1           2.055           1.565          28.079
   1           2.396           6.217          26.977
   1           2.547           2.743          28.079
   1           3.022          10.124          28.079
   1           2.379           4.519          28.079
   1           2.362           3.439          28.079
   1           3.150           4.666          28.079
   1           2.368           4.854          28.079
   1           2.566           6.911          28.079
   1           2.143           2.023          26.811
   1           3.526           3.239          28.079
   1           2.045           2.561          23.507
   1           2.220           6.118          28.079
   1           1.345           6.013          28.079
   1           2.200           7.719          28.079
   1           2.967           5.840          28.079
   1           4.493           2.843          28.079
   1           1.546        8.300e-1          28.079
   1           2.166          14.047          28.079
   1           3.053           2.029          25.785
   1           3.931           2.037          27.990
   1           2.853           5.433          27.537
   1           2.583           2.407          28.079
   1           2.948           7.881          28.079
   1           3.693           4.563          28.079
   1           5.224           7.806          28.079
   1           2.247           3.552          26.893
   1           2.457           4.893          28.050
   1           2.704           9.181          28.079
